"","meanearly","meanlate","sdearly","sdlate","p_value"
"BRWD3",7.75254287066246,7.55205776699029,1.00333400984407,0.86661751246785,0.0155726640881546
"CCL11",1.64247111671924,2.39014846601942,1.67065274654912,2.07873093605719,1.90012653418326e-05
"TFG",10.7353551735016,10.9424097087379,0.48919365665398,0.46548330561656,1.53537236925922e-06
"UHRF1",5.95437703470032,6.60290558252427,1.02775378816001,1.13172365393996,1.02598869474832e-10
"DCTN3",9.68714287066246,9.50159315533981,0.513455198141356,0.454029517131409,1.78341792897458e-05
"SOD1",11.9106094637224,12.0130936893204,0.491560727964758,0.517643272693521,0.0245596617948039
"GCKR",0.733534605678233,1.28788763592233,1.33271386587254,1.7524699570798,0.000129121758138467
"CNPY4",8.43616003154574,8.54264849514563,0.593373643120153,0.569063887938152,0.0403609313075688
"TCL1B",0.951932662460568,0.591289019417476,1.19291166664539,0.840091829685355,5.81668675921577e-05
"GTPBP5",8.38554583596214,8.48146834951456,0.511963255500437,0.461142405078046,0.0265778368600085
"ZNF354C",5.57163098107256,5.07475418932039,1.36316775323085,1.29721694971514,3.28685654232118e-05
"FADS1",9.44458851735016,9.6123254368932,0.662851623529127,0.722282247051261,0.00766749316168625
"PTPRCAP",7.68556205047319,8.31718985436893,1.37814517337842,1.39998779566579,5.83730600801588e-07
"ANKLE2",10.6623679495268,10.7643075728155,0.367755450582052,0.380782879236887,0.00257860523670864
"CPNE9",1.28109847949527,1.48491293203884,0.939245685794844,1.02756251053803,0.0224208066643193
"LRRC16A",8.79792548895899,8.64250902912621,0.672184940329558,0.600750197894493,0.00605592360958458
"NARFL",8.96866239747634,9.09403946601942,0.609914745382806,0.590121025112816,0.0195768681481708
"ANKAR",5.63259372239748,5.49021616504854,0.775595891653245,0.806392345416724,0.0458449638823586
"CCNI",12.5774752365931,12.190622815534,0.726706808159698,0.83049994813987,8.2796593484029e-08
"MFHAS1",8.15711299684543,7.64510834951456,1.1071245934728,1.08877011398931,2.75693338774074e-07
"MRGPRD",0.134115574132492,0.286309961165049,0.274552439287033,0.540137320109274,0.000222148592684467
"GAPDH",16.5327722397476,16.8470126213592,0.654521330448244,0.699041726125354,4.02915244500546e-07
"TMEM27",11.0396063091483,10.2559970873786,1.92767991757947,2.470253846336,0.000137523493288772
"CROT",8.53539731861199,8.32693616504854,0.518241548647317,0.539713782825722,1.47165965359304e-05
"SUV39H1",7.52199722397476,7.74689053398058,0.396394389880808,0.580059658389491,1.70469647251018e-06
"PSME4",9.91393678233439,10.0186690291262,0.449442826125233,0.482764805714052,0.01315013122422
"MYCN",4.12532831861199,3.60873483009709,1.27097352196697,1.13526710187294,1.69155679458841e-06
"TSPYL1",11.4846944794953,11.1266240776699,0.625041897224658,0.596242672756225,1.27570800556468e-10
"REN",7.8480852555205,7.06090246116505,3.69363420241726,3.39472209552686,0.0126898520240069
"FGD6",9.37578766561514,9.63508951456311,0.814486749030209,0.68373723624793,9.87678913612548e-05
"PCDHAC2",5.90059488958991,5.34577169902913,1.38287425272249,1.65761734700951,8.03914423444426e-05
"HLA.C",14.965814511041,15.1101082524272,0.657836248172003,0.76733645749745,0.0269713656112909
"HPCAL4",2.44302312933754,2.9161453592233,1.83394848518644,1.81516578458178,0.00390985794153543
"CDKN2A",6.36691637223975,6.74466184466019,1.16561154533576,1.30447372167326,0.000817293158591424
"PARP6",9.57560968454259,9.73619475728155,0.557891818970832,0.631530026090095,0.00312960961659101
"GUCY2D",1.12969467507886,1.64071379126214,1.14145466857374,1.40542269228274,1.63908271198573e-05
"TESK1",9.49622078864353,9.64452723300971,0.5035840945363,0.569604076659341,0.00249557793037183
"TNS1",14.151832807571,13.9580655339806,0.839402484891352,0.899612274545883,0.0138900494178258
"MTBP",5.46561955835962,5.65421660194175,0.664835751863672,0.702646420520555,0.00233153037758375
"LOC647121",4.86581485804416,5.2503082038835,1.0078834336297,1.02346426513197,2.93896624175619e-05
"DNLZ",6.35156864353312,6.57333402912621,0.98255056855034,0.975342850884994,0.0116459759043011
"NOMO1",11.7281413880126,11.8299495145631,0.525953564187573,0.513906792796797,0.0288047873940494
"BAHD1",9.56090454258675,9.37883398058252,0.421097437579786,0.417599209236332,1.66846441096072e-06
"EML5",5.42139738170347,5.10088786407767,0.749098608742126,0.717234712659127,1.29765341465268e-06
"ZNF578",5.32508151419558,5.07741791262136,0.888938327749102,0.892930999586447,0.00202860298423287
"FAM186B",3.82492041009464,3.58002475728155,0.842172032530605,0.850726592700323,0.00133456294263165
"YIPF1",9.1197032807571,9.21264834951456,0.392588459527776,0.357739775940481,0.00543778307113524
"LOC731789",0.433504955835962,0.634468266990291,0.680897808584171,0.932848116682751,0.00806320280836932
"RPL29",12.654898170347,12.8641332038835,0.76461098793691,0.738617754809239,0.00191448955646352
"TBCB",9.87830646687697,10.0859900485437,0.538358680487707,0.563400503536228,3.37615182434276e-05
"ZNF433",6.7714303785489,6.25290800970874,0.850406293571525,1.02370741879886,3.659090745356e-09
"TRMT2B",8.46707776025237,8.29900631067961,0.48867602523576,0.535470597093062,0.000320826938492613
"PP14571",1.0029481829653,1.18720356796116,0.941853032895238,1.07179374011754,0.0447447780664266
"RBPJL",0.160857895899054,0.270052087378641,0.446368780881004,0.709083387797337,0.0496146124843577
"CIRH1A",10.2930465615142,10.1731812135922,0.492749904127408,0.501387556773014,0.00743233022882767
"INPP5F",8.89630378548896,8.71501276699029,0.494330940871949,0.558476659720266,0.000172090031999877
